State,Year,Education Level of Mother,Education_Level_Code,Number_of_Births,Average_Age_of_Mother
Indiana,2018,"Associate degree (AA, AS)",5,3406,29.7
Indiana,2018,"Some college credit, but not a degree",4,7980,27.6
Indiana,2018,"Some college credit, but not a degree",4,8235,27.5
Indiana,2018,High school graduate or GED completed,3,11412,25.7
Indiana,2018,High school graduate or GED completed,3,12146,25.6
Indiana,2018,9th through 12th grade with no diploma,2,4148,24.3
Indiana,2018,9th through 12th grade with no diploma,2,4305,24.2
Indiana,2018,8th grade or less,1,1846,28.9
Indiana,2018,8th grade or less,1,1923,28.8
Indiana,2018,Unknown or Not Stated,0,54,29.5
Indiana,2018,Unknown or Not Stated,0,51,29.6
Indiana,2019,"Doctorate (PhD, EdD) or Professional Degree (MD, DDS, DVM, LLB, JD)",8,765,33.3
Indiana,2019,"Doctorate (PhD, EdD) or Professional Degree (MD, DDS, DVM, LLB, JD)",8,812,33.1
Indiana,2019,"Master's degree (MA, MS, MEng, MEd, MSW, MBA)",7,2339,32.4
Indiana,2019,"Master's degree (MA, MS, MEng, MEd, MSW, MBA)",7,2577,32.4
Indiana,2019,"Bachelor's degree (BA, AB, BS)",6,7962,30.6
Indiana,2019,"Bachelor's degree (BA, AB, BS)",6,8295,30.5
Indiana,2019,"Associate degree (AA, AS)",5,3139,29.6
Indiana,2019,"Associate degree (AA, AS)",5,3325,29.5
Indiana,2019,"Some college credit, but not a degree",4,7507,27.7
Indiana,2019,"Some college credit, but not a degree",4,7881,27.7
Indiana,2019,High school graduate or GED completed,3,11693,25.9
Indiana,2019,High school graduate or GED completed,3,12300,25.8
Indiana,2019,9th through 12th grade with no diploma,2,4032,24.4
Indiana,2019,9th through 12th grade with no diploma,2,4277,24.2
Indiana,2019,8th grade or less,1,1857,28.7
Indiana,2019,8th grade or less,1,1997,28.7
Indiana,2019,Unknown or Not Stated,0,57,28.6
Indiana,2019,Unknown or Not Stated,0,44,29.3
Indiana,2020,"Doctorate (PhD, EdD) or Professional Degree (MD, DDS, DVM, LLB, JD)",8,804,33.2
Indiana,2020,"Doctorate (PhD, EdD) or Professional Degree (MD, DDS, DVM, LLB, JD)",8,860,33.3
Indiana,2020,"Master's degree (MA, MS, MEng, MEd, MSW, MBA)",7,2402,32.4
Indiana,2020,"Master's degree (MA, MS, MEng, MEd, MSW, MBA)",7,2562,32.4
Indiana,2020,"Bachelor's degree (BA, AB, BS)",6,7854,30.5
Indiana,2020,"Bachelor's degree (BA, AB, BS)",6,8220,30.6
Indiana,2020,"Associate degree (AA, AS)",5,3063,29.8
Indiana,2020,"Associate degree (AA, AS)",5,3222,29.7
Indiana,2020,"Some college credit, but not a degree",4,7068,28
Indiana,2020,"Some college credit, but not a degree",4,7394,27.8
Indiana,2020,High school graduate or GED completed,3,11368,26
Indiana,2020,High school graduate or GED completed,3,12066,26
Indiana,2020,9th through 12th grade with no diploma,2,3745,24.5
Indiana,2020,9th through 12th grade with no diploma,2,3884,24.4
Indiana,2020,8th grade or less,1,1974,28.7
Indiana,2020,8th grade or less,1,2013,28.8
Indiana,2020,Unknown or Not Stated,0,56,28.2
Indiana,2020,Unknown or Not Stated,0,61,29.4
Indiana,2021,"Doctorate (PhD, EdD) or Professional Degree (MD, DDS, DVM, LLB, JD)",8,827,33.2
Indiana,2021,"Doctorate (PhD, EdD) or Professional Degree (MD, DDS, DVM, LLB, JD)",8,890,33.1
Indiana,2021,"Master's degree (MA, MS, MEng, MEd, MSW, MBA)",7,2599,32.4
Indiana,2021,"Master's degree (MA, MS, MEng, MEd, MSW, MBA)",7,2792,32.2
Indiana,2021,"Bachelor's degree (BA, AB, BS)",6,8240,30.6
Indiana,2021,"Bachelor's degree (BA, AB, BS)",6,8773,30.7
Indiana,2021,"Associate degree (AA, AS)",5,3203,29.8
Indiana,2021,"Associate degree (AA, AS)",5,3341,29.8
Indiana,2021,"Some college credit, but not a degree",4,7018,28
Indiana,2021,"Some college credit, but not a degree",4,7520,28
Indiana,2021,High school graduate or GED completed,3,11512,26.1
Indiana,2021,High school graduate or GED completed,3,11756,26.1
Indiana,2021,9th through 12th grade with no diploma,2,3474,24.6
Indiana,2021,9th through 12th grade with no diploma,2,3889,24.7
Indiana,2021,8th grade or less,1,1883,28.6
Indiana,2021,8th grade or less,1,2014,28.7
Indiana,2021,Unknown or Not Stated,0,95,30.6
Indiana,2021,Unknown or Not Stated,0,120,28.9
Iowa,2016,"Doctorate (PhD, EdD) or Professional Degree (MD, DDS, DVM, LLB, JD)",8,525,32.6
Iowa,2016,"Doctorate (PhD, EdD) or Professional Degree (MD, DDS, DVM, LLB, JD)",8,520,32.5
Iowa,2016,"Master's degree (MA, MS, MEng, MEd, MSW, MBA)",7,1500,31.8
Iowa,2016,"Master's degree (MA, MS, MEng, MEd, MSW, MBA)",7,1499,31.8
Iowa,2016,"Bachelor's degree (BA, AB, BS)",6,4627,30.3
Iowa,2016,"Bachelor's degree (BA, AB, BS)",6,4822,30.3
Iowa,2016,"Associate degree (AA, AS)",5,2522,29.2
Iowa,2016,"Associate degree (AA, AS)",5,2523,29.3
Iowa,2016,"Some college credit, but not a degree",4,3411,27.2
Iowa,2016,"Some college credit, but not a degree",4,3546,27.1
Iowa,2016,High school graduate or GED completed,3,4670,26
Iowa,2016,High school graduate or GED completed,3,4777,26.1
Iowa,2016,9th through 12th grade with no diploma,2,1499,24.2
Iowa,2016,9th through 12th grade with no diploma,2,1599,24.5
Iowa,2016,8th grade or less,1,599,30.2
Iowa,2016,8th grade or less,1,692,30.1
Iowa,2016,Unknown or Not Stated,0,45,29
Iowa,2016,Unknown or Not Stated,0,27,28.5
Iowa,2017,"Doctorate (PhD, EdD) or Professional Degree (MD, DDS, DVM, LLB, JD)",8,524,32.7
Iowa,2017,"Doctorate (PhD, EdD) or Professional Degree (MD, DDS, DVM, LLB, JD)",8,551,32.6
Iowa,2017,"Master's degree (MA, MS, MEng, MEd, MSW, MBA)",7,1423,32
Iowa,2017,"Master's degree (MA, MS, MEng, MEd, MSW, MBA)",7,1559,31.9
Iowa,2017,"Bachelor's degree (BA, AB, BS)",6,4469,30.4
Iowa,2017,"Bachelor's degree (BA, AB, BS)",6,4650,30.5
Iowa,2017,"Associate degree (AA, AS)",5,2368,29.4
Iowa,2017,"Associate degree (AA, AS)",5,2485,29.3
Iowa,2017,"Some college credit, but not a degree",4,3263,27.5
Iowa,2017,"Some college credit, but not a degree",4,3344,27.4
Iowa,2017,High school graduate or GED completed,3,4581,26.1
Iowa,2017,High school graduate or GED completed,3,4825,26.3
Iowa,2017,9th through 12th grade with no diploma,2,1489,24.7
Iowa,2017,9th through 12th grade with no diploma,2,1578,24.8
Iowa,2017,8th grade or less,1,643,30.1
Iowa,2017,8th grade or less,1,620,30.2
Iowa,2017,Unknown or Not Stated,0,35,27.7
Iowa,2017,Unknown or Not Stated,0,23,28.3
Iowa,2018,"Doctorate (PhD, EdD) or Professional Degree (MD, DDS, DVM, LLB, JD)",8,523,32.7
Iowa,2018,"Doctorate (PhD, EdD) or Professional Degree (MD, DDS, DVM, LLB, JD)",8,524,32.7
Iowa,2018,"Master's degree (MA, MS, MEng, MEd, MSW, MBA)",7,1485,32
Iowa,2018,"Master's degree (MA, MS, MEng, MEd, MSW, MBA)",7,1551,32.2
Iowa,2018,"Bachelor's degree (BA, AB, BS)",6,4504,30.4
Iowa,2018,"Bachelor's degree (BA, AB, BS)",6,4558,30.4
Iowa,2018,"Associate degree (AA, AS)",5,2293,29.4
Iowa,2018,"Associate degree (AA, AS)",5,2453,29.5
Iowa,2018,"Some college credit, but not a degree",4,3078,27.5
Iowa,2018,"Some college credit, but not a degree",4,3271,27.4
Iowa,2018,High school graduate or GED completed,3,4503,26.3
Iowa,2018,High school graduate or GED completed,3,4669,26.4
Iowa,2018,9th through 12th grade with no diploma,2,1505,24.6
Iowa,2018,9th through 12th grade with no diploma,2,1586,24.8
Iowa,2018,8th grade or less,1,559,30.2
Iowa,2018,8th grade or less,1,645,29.9
Iowa,2018,Unknown or Not Stated,0,34,29.8
Iowa,2018,Unknown or Not Stated,0,44,28.7
Iowa,2019,"Doctorate (PhD, EdD) or Professional Degree (MD, DDS, DVM, LLB, JD)",8,552,32.6
Iowa,2019,"Doctorate (PhD, EdD) or Professional Degree (MD, DDS, DVM, LLB, JD)",8,519,32.9
Iowa,2019,"Master's degree (MA, MS, MEng, MEd, MSW, MBA)",7,1535,32.1
Iowa,2019,"Master's degree (MA, MS, MEng, MEd, MSW, MBA)",7,1557,32.1
Iowa,2019,"Bachelor's degree (BA, AB, BS)",6,4364,30.6
Iowa,2019,"Bachelor's degree (BA, AB, BS)",6,4797,30.5
Iowa,2019,"Associate degree (AA, AS)",5,2274,29.5
Iowa,2019,"Associate degree (AA, AS)",5,2375,29.5
Iowa,2019,"Some college credit, but not a degree",4,3108,27.8
Iowa,2019,"Some college credit, but not a degree",4,3155,27.5
Iowa,2019,High school graduate or GED completed,3,4545,26.6
Iowa,2019,High school graduate or GED completed,3,4744,26.4
Iowa,2019,9th through 12th grade with no diploma,2,1390,25
Iowa,2019,9th through 12th grade with no diploma,2,1412,25.1
Iowa,2019,8th grade or less,1,598,29.8
Iowa,2019,8th grade or less,1,638,29.6
Iowa,2019,Unknown or Not Stated,0,38,27.5
Iowa,2019,Unknown or Not Stated,0,48,29.1
Iowa,2020,"Doctorate (PhD, EdD) or Professional Degree (MD, DDS, DVM, LLB, JD)",8,532,32.8
Iowa,2020,"Doctorate (PhD, EdD) or Professional Degree (MD, DDS, DVM, LLB, JD)",8,488,32.9
Iowa,2020,"Master's degree (MA, MS, MEng, MEd, MSW, MBA)",7,1423,32.1
Iowa,2020,"Master's degree (MA, MS, MEng, MEd, MSW, MBA)",7,1561,32
Iowa,2020,"Bachelor's degree (BA, AB, BS)",6,4324,30.5
Iowa,2020,"Bachelor's degree (BA, AB, BS)",6,4395,30.5
Iowa,2020,"Associate degree (AA, AS)",5,2126,29.4
Iowa,2020,"Associate degree (AA, AS)",5,2204,29.5
Iowa,2020,"Some college credit, but not a degree",4,2867,27.8
Iowa,2020,"Some college credit, but not a degree",4,2988,27.9
Iowa,2020,High school graduate or GED completed,3,4405,26.7
Iowa,2020,High school graduate or GED completed,3,4683,26.5
Iowa,2020,9th through 12th grade with no diploma,2,1389,25.1
Iowa,2020,9th through 12th grade with no diploma,2,1440,24.8
Iowa,2020,8th grade or less,1,591,29.7
Iowa,2020,8th grade or less,1,626,30
Iowa,2020,Unknown or Not Stated,0,35,29.6
Iowa,2020,Unknown or Not Stated,0,37,28.4
Iowa,2021,"Doctorate (PhD, EdD) or Professional Degree (MD, DDS, DVM, LLB, JD)",8,519,33
Iowa,2021,"Doctorate (PhD, EdD) or Professional Degree (MD, DDS, DVM, LLB, JD)",8,528,32.8
Iowa,2021,"Master's degree (MA, MS, MEng, MEd, MSW, MBA)",7,1532,32.3
Iowa,2021,"Master's degree (MA, MS, MEng, MEd, MSW, MBA)",7,1730,32
Iowa,2021,"Bachelor's degree (BA, AB, BS)",6,4476,30.7
Iowa,2021,"Bachelor's degree (BA, AB, BS)",6,4694,30.5
Iowa,2021,"Associate degree (AA, AS)",5,2134,29.7
Iowa,2021,"Associate degree (AA, AS)",5,2353,29.6
Iowa,2021,"Some college credit, but not a degree",4,2879,28
Iowa,2021,"Some college credit, but not a degree",4,2930,28.1
Iowa,2021,High school graduate or GED completed,3,4438,26.8
Iowa,2021,High school graduate or GED completed,3,4533,26.7
Iowa,2021,9th through 12th grade with no diploma,2,1365,25.1
Iowa,2021,9th through 12th grade with no diploma,2,1402,25.3
Iowa,2021,8th grade or less,1,596,29.1
Iowa,2021,8th grade or less,1,660,29.6
Iowa,2021,Unknown or Not Stated,0,35,30.1
Iowa,2021,Unknown or Not Stated,0,31,28.5
Kansas,2016,"Doctorate (PhD, EdD) or Professional Degree (MD, DDS, DVM, LLB, JD)",8,452,32.8
Kansas,2016,"Doctorate (PhD, EdD) or Professional Degree (MD, DDS, DVM, LLB, JD)",8,468,32.9
Kansas,2016,"Master's degree (MA, MS, MEng, MEd, MSW, MBA)",7,1645,32
Kansas,2016,"Master's degree (MA, MS, MEng, MEd, MSW, MBA)",7,1685,31.9
Kansas,2016,"Bachelor's degree (BA, AB, BS)",6,4096,30.5
Kansas,2016,"Bachelor's degree (BA, AB, BS)",6,4451,30.6
Kansas,2016,"Associate degree (AA, AS)",5,1707,29
Kansas,2016,"Associate degree (AA, AS)",5,1898,28.8
Kansas,2016,"Some college credit, but not a degree",4,3922,27.1
Kansas,2016,"Some college credit, but not a degree",4,4229,27
Kansas,2016,High school graduate or GED completed,3,4205,25.6
Kansas,2016,High school graduate or GED completed,3,4420,25.4
Kansas,2016,9th through 12th grade with no diploma,2,1819,24.4
Kansas,2016,9th through 12th grade with no diploma,2,1808,24.5
Kansas,2016,8th grade or less,1,573,29.5
Kansas,2016,8th grade or less,1,565,29.1
Kansas,2016,Unknown or Not Stated,0,51,28.9
Kansas,2016,Unknown or Not Stated,0,59,28.1
Kansas,2017,"Doctorate (PhD, EdD) or Professional Degree (MD, DDS, DVM, LLB, JD)",8,408,32.9
Kansas,2017,"Doctorate (PhD, EdD) or Professional Degree (MD, DDS, DVM, LLB, JD)",8,466,33.3
Kansas,2017,"Master's degree (MA, MS, MEng, MEd, MSW, MBA)",7,1543,32.3
Kansas,2017,"Master's degree (MA, MS, MEng, MEd, MSW, MBA)",7,1645,32
Kansas,2017,"Bachelor's degree (BA, AB, BS)",6,4021,30.6
Kansas,2017,"Bachelor's degree (BA, AB, BS)",6,4151,30.6
Kansas,2017,"Associate degree (AA, AS)",5,1653,28.8
Kansas,2017,"Associate degree (AA, AS)",5,1825,28.8
Kansas,2017,"Some college credit, but not a degree",4,3675,27.3
Kansas,2017,"Some college credit, but not a degree",4,3990,27.2
Kansas,2017,High school graduate or GED completed,3,4186,25.8
Kansas,2017,High school graduate or GED completed,3,4509,25.6
Kansas,2017,9th through 12th grade with no diploma,2,1597,24.6
Kansas,2017,9th through 12th grade with no diploma,2,1688,24.6
Kansas,2017,8th grade or less,1,492,29.2
Kansas,2017,8th grade or less,1,555,29.5
Kansas,2017,Unknown or Not Stated,0,52,30.7
Kansas,2017,Unknown or Not Stated,0,63,28.2
Kansas,2018,"Doctorate (PhD, EdD) or Professional Degree (MD, DDS, DVM, LLB, JD)",8,463,32.9
Kansas,2018,"Doctorate (PhD, EdD) or Professional Degree (MD, DDS, DVM, LLB, JD)",8,423,33
Kansas,2018,"Master's degree (MA, MS, MEng, MEd, MSW, MBA)",7,1518,32.2
Kansas,2018,"Master's degree (MA, MS, MEng, MEd, MSW, MBA)",7,1578,32.1
Kansas,2018,"Bachelor's degree (BA, AB, BS)",6,3948,30.8
Kansas,2018,"Bachelor's degree (BA, AB, BS)",6,4301,30.7
Kansas,2018,"Associate degree (AA, AS)",5,1697,29.1
Kansas,2018,"Associate degree (AA, AS)",5,1789,28.9
Kansas,2018,"Some college credit, but not a degree",4,3643,27.2
Kansas,2018,"Some college credit, but not a degree",4,3707,27.2
Kansas,2018,High school graduate or GED completed,3,4306,26
Kansas,2018,High school graduate or GED completed,3,4526,26
Kansas,2018,9th through 12th grade with no diploma,2,1545,24.5
Kansas,2018,9th through 12th grade with no diploma,2,1654,24.4
Kansas,2018,8th grade or less,1,488,29.4
Kansas,2018,8th grade or less,1,541,29.5
Kansas,2018,Unknown or Not Stated,0,66,29.6
Kansas,2018,Unknown or Not Stated,0,68,29.2
Kansas,2019,"Doctorate (PhD, EdD) or Professional Degree (MD, DDS, DVM, LLB, JD)",8,440,33
Kansas,2019,"Doctorate (PhD, EdD) or Professional Degree (MD, DDS, DVM, LLB, JD)",8,467,33.2
Kansas,2019,"Master's degree (MA, MS, MEng, MEd, MSW, MBA)",7,1503,32.6
Kansas,2019,"Master's degree (MA, MS, MEng, MEd, MSW, MBA)",7,1740,32.4
Kansas,2019,"Bachelor's degree (BA, AB, BS)",6,3934,30.6
Kansas,2019,"Bachelor's degree (BA, AB, BS)",6,4074,30.8
Kansas,2019,"Associate degree (AA, AS)",5,1642,29.1
Kansas,2019,"Associate degree (AA, AS)",5,1744,29.1
Kansas,2019,"Some college credit, but not a degree",4,3483,27.5
Kansas,2019,"Some college credit, but not a degree",4,3596,27.4
Kansas,2019,High school graduate or GED completed,3,4283,25.9
Kansas,2019,High school graduate or GED completed,3,4268,25.9
Kansas,2019,9th through 12th grade with no diploma,2,1458,24.5
Kansas,2019,9th through 12th grade with no diploma,2,1526,24.7
Kansas,2019,8th grade or less,1,533,29
Kansas,2019,8th grade or less,1,545,29
Kansas,2019,Unknown or Not Stated,0,78,29.5
Kansas,2019,Unknown or Not Stated,0,81,29.3
Kansas,2020,"Doctorate (PhD, EdD) or Professional Degree (MD, DDS, DVM, LLB, JD)",8,472,33.2
Kansas,2020,"Doctorate (PhD, EdD) or Professional Degree (MD, DDS, DVM, LLB, JD)",8,450,33.1
Kansas,2020,"Master's degree (MA, MS, MEng, MEd, MSW, MBA)",7,1501,32.2
Kansas,2020,"Master's degree (MA, MS, MEng, MEd, MSW, MBA)",7,1611,32.2
Kansas,2020,"Bachelor's degree (BA, AB, BS)",6,3758,30.8
Kansas,2020,"Bachelor's degree (BA, AB, BS)",6,4063,30.7
Kansas,2020,"Associate degree (AA, AS)",5,1578,28.9
Kansas,2020,"Associate degree (AA, AS)",5,1652,29.1
Kansas,2020,"Some college credit, but not a degree",4,3292,27.5
Kansas,2020,"Some college credit, but not a degree",4,3299,27.6
Kansas,2020,High school graduate or GED completed,3,4299,25.9
Kansas,2020,High school graduate or GED completed,3,4467,25.7
Kansas,2020,9th through 12th grade with no diploma,2,1326,25
Kansas,2020,9th through 12th grade with no diploma,2,1399,24.7
Kansas,2020,8th grade or less,1,494,29.1
Kansas,2020,8th grade or less,1,530,29.2
Kansas,2020,Unknown or Not Stated,0,93,29.6
Kansas,2020,Unknown or Not Stated,0,92,29.5
Kansas,2021,"Doctorate (PhD, EdD) or Professional Degree (MD, DDS, DVM, LLB, JD)",8,508,33
Kansas,2021,"Doctorate (PhD, EdD) or Professional Degree (MD, DDS, DVM, LLB, JD)",8,486,32.8
Kansas,2021,"Master's degree (MA, MS, MEng, MEd, MSW, MBA)",7,1518,32.4
Kansas,2021,"Master's degree (MA, MS, MEng, MEd, MSW, MBA)",7,1653,32.2
Kansas,2021,"Bachelor's degree (BA, AB, BS)",6,4026,30.8
Kansas,2021,"Bachelor's degree (BA, AB, BS)",6,4342,30.7
Kansas,2021,"Associate degree (AA, AS)",5,1589,29.3
Kansas,2021,"Associate degree (AA, AS)",5,1589,29.3
Kansas,2021,"Some college credit, but not a degree",4,3059,27.6
Kansas,2021,"Some college credit, but not a degree",4,3118,27.8
Kansas,2021,High school graduate or GED completed,3,4353,26.2
Kansas,2021,High school graduate or GED completed,3,4608,26.3
Kansas,2021,9th through 12th grade with no diploma,2,1290,25.1
Kansas,2021,9th through 12th grade with no diploma,2,1248,24.7
Kansas,2021,8th grade or less,1,558,29
Kansas,2021,8th grade or less,1,555,29.2
Kansas,2021,Unknown or Not Stated,0,108,29.3
Kansas,2021,Unknown or Not Stated,0,97,29.2
Kentucky,2016,"Doctorate (PhD, EdD) or Professional Degree (MD, DDS, DVM, LLB, JD)",8,621,32.7
Kentucky,2016,"Doctorate (PhD, EdD) or Professional Degree (MD, DDS, DVM, LLB, JD)",8,596,33
Kentucky,2016,"Master's degree (MA, MS, MEng, MEd, MSW, MBA)",7,2076,31.9
Kentucky,2016,"Master's degree (MA, MS, MEng, MEd, MSW, MBA)",7,2214,31.8
Kentucky,2016,"Bachelor's degree (BA, AB, BS)",6,4173,30.3
Kentucky,2016,"Bachelor's degree (BA, AB, BS)",6,4376,30.3
Kentucky,2016,"Associate degree (AA, AS)",5,2419,29
Kentucky,2016,"Associate degree (AA, AS)",5,2545,28.9
Kentucky,2016,"Some college credit, but not a degree",4,6307,26.7
Kentucky,2016,"Some college credit, but not a degree",4,6733,26.7
Kentucky,2016,High school graduate or GED completed,3,7538,24.9
Kentucky,2016,High school graduate or GED completed,3,7886,24.9
Kentucky,2016,9th through 12th grade with no diploma,2,2821,23.7
Kentucky,2016,9th through 12th grade with no diploma,2,2989,23.9
Kentucky,2016,8th grade or less,1,928,28.4
Kentucky,2016,8th grade or less,1,954,28.4
Kentucky,2016,Unknown or Not Stated,0,115,28
Kentucky,2016,Unknown or Not Stated,0,158,27.5
Kentucky,2017,"Doctorate (PhD, EdD) or Professional Degree (MD, DDS, DVM, LLB, JD)",8,563,32.7
Kentucky,2017,"Doctorate (PhD, EdD) or Professional Degree (MD, DDS, DVM, LLB, JD)",8,557,32.7
Kentucky,2017,"Master's degree (MA, MS, MEng, MEd, MSW, MBA)",7,2153,31.8
Kentucky,2017,"Master's degree (MA, MS, MEng, MEd, MSW, MBA)",7,2217,31.9
Kentucky,2017,"Bachelor's degree (BA, AB, BS)",6,4010,30.3
Kentucky,2017,"Bachelor's degree (BA, AB, BS)",6,4361,30.5
Kentucky,2017,"Associate degree (AA, AS)",5,2367,28.9
Kentucky,2017,"Associate degree (AA, AS)",5,2661,29
Kentucky,2017,"Some college credit, but not a degree",4,6033,26.8
Kentucky,2017,"Some college credit, but not a degree",4,6460,26.7
Kentucky,2017,High school graduate or GED completed,3,7657,25
Kentucky,2017,High school graduate or GED completed,3,8026,25
Kentucky,2017,9th through 12th grade with no diploma,2,2772,23.9
Kentucky,2017,9th through 12th grade with no diploma,2,2871,23.8
Kentucky,2017,8th grade or less,1,860,29.1
Kentucky,2017,8th grade or less,1,936,28.9
Kentucky,2017,Unknown or Not Stated,0,125,28.8
Kentucky,2017,Unknown or Not Stated,0,123,28
Kentucky,2018,"Doctorate (PhD, EdD) or Professional Degree (MD, DDS, DVM, LLB, JD)",8,534,32.9
Kentucky,2018,"Doctorate (PhD, EdD) or Professional Degree (MD, DDS, DVM, LLB, JD)",8,607,33
Kentucky,2018,"Master's degree (MA, MS, MEng, MEd, MSW, MBA)",7,2079,31.9
Kentucky,2018,"Master's degree (MA, MS, MEng, MEd, MSW, MBA)",7,2214,31.8
Kentucky,2018,"Bachelor's degree (BA, AB, BS)",6,3998,30.4
Kentucky,2018,"Bachelor's degree (BA, AB, BS)",6,4175,30.5
Kentucky,2018,"Associate degree (AA, AS)",5,2391,28.9
Kentucky,2018,"Associate degree (AA, AS)",5,2537,29
Kentucky,2018,"Some college credit, but not a degree",4,5833,27
Kentucky,2018,"Some college credit, but not a degree",4,6297,27
Kentucky,2018,High school graduate or GED completed,3,7797,25.2
Kentucky,2018,High school graduate or GED completed,3,8125,25.2
Kentucky,2018,9th through 12th grade with no diploma,2,2600,24.2
Kentucky,2018,9th through 12th grade with no diploma,2,2638,23.8
Kentucky,2018,8th grade or less,1,921,28.8
Kentucky,2018,8th grade or less,1,938,28.9
Kentucky,2018,Unknown or Not Stated,0,101,28.3
Kentucky,2018,Unknown or Not Stated,0,137,27.5
Kentucky,2019,"Doctorate (PhD, EdD) or Professional Degree (MD, DDS, DVM, LLB, JD)",8,563,32.7
Kentucky,2019,"Doctorate (PhD, EdD) or Professional Degree (MD, DDS, DVM, LLB, JD)",8,531,32.9
Kentucky,2019,"Master's degree (MA, MS, MEng, MEd, MSW, MBA)",7,1978,31.9
Kentucky,2019,"Master's degree (MA, MS, MEng, MEd, MSW, MBA)",7,2155,32
Kentucky,2019,"Bachelor's degree (BA, AB, BS)",6,4040,30.4
Kentucky,2019,"Bachelor's degree (BA, AB, BS)",6,4186,30.4
Kentucky,2019,"Associate degree (AA, AS)",5,2354,29.2
Kentucky,2019,"Associate degree (AA, AS)",5,2510,29
Kentucky,2019,"Some college credit, but not a degree",4,5739,27.1
Kentucky,2019,"Some college credit, but not a degree",4,5964,27.1
Kentucky,2019,High school graduate or GED completed,3,7776,25.3
Kentucky,2019,High school graduate or GED completed,3,8132,25.3
Kentucky,2019,9th through 12th grade with no diploma,2,2416,24.2
Kentucky,2019,9th through 12th grade with no diploma,2,2555,24.3
Kentucky,2019,8th grade or less,1,946,28.9
Kentucky,2019,8th grade or less,1,934,29.1
Kentucky,2019,Unknown or Not Stated,0,140,28.9
Kentucky,2019,Unknown or Not Stated,0,150,28.9
Kentucky,2020,"Doctorate (PhD, EdD) or Professional Degree (MD, DDS, DVM, LLB, JD)",8,541,33.1
Kentucky,2020,"Doctorate (PhD, EdD) or Professional Degree (MD, DDS, DVM, LLB, JD)",8,569,33
Kentucky,2020,"Master's degree (MA, MS, MEng, MEd, MSW, MBA)",7,2109,32.2
Kentucky,2020,"Master's degree (MA, MS, MEng, MEd, MSW, MBA)",7,2101,32
Kentucky,2020,"Bachelor's degree (BA, AB, BS)",6,3875,30.3
Kentucky,2020,"Bachelor's degree (BA, AB, BS)",6,4169,30.5
Kentucky,2020,"Associate degree (AA, AS)",5,2268,29.3
Kentucky,2020,"Associate degree (AA, AS)",5,2350,29.1
Kentucky,2020,"Some college credit, but not a degree",4,5344,27.3
Kentucky,2020,"Some college credit, but not a degree",4,5439,27.3
Kentucky,2020,High school graduate or GED completed,3,7888,25.3
Kentucky,2020,High school graduate or GED completed,3,8214,25.3
Kentucky,2020,9th through 12th grade with no diploma,2,2284,24.3
Kentucky,2020,9th through 12th grade with no diploma,2,2366,24.7
Kentucky,2020,8th grade or less,1,961,28.9
Kentucky,2020,8th grade or less,1,951,29.2
Kentucky,2020,Unknown or Not Stated,0,103,27.7
Kentucky,2020,Unknown or Not Stated,0,136,28.7
Kentucky,2021,"Doctorate (PhD, EdD) or Professional Degree (MD, DDS, DVM, LLB, JD)",8,565,33.1
Kentucky,2021,"Doctorate (PhD, EdD) or Professional Degree (MD, DDS, DVM, LLB, JD)",8,615,33.1
Kentucky,2021,"Master's degree (MA, MS, MEng, MEd, MSW, MBA)",7,2151,32
Kentucky,2021,"Master's degree (MA, MS, MEng, MEd, MSW, MBA)",7,2143,31.9
Kentucky,2021,"Bachelor's degree (BA, AB, BS)",6,4284,30.4
Kentucky,2021,"Bachelor's degree (BA, AB, BS)",6,4399,30.4
Kentucky,2021,"Associate degree (AA, AS)",5,2328,29.1
Kentucky,2021,"Associate degree (AA, AS)",5,2355,29.2
Kentucky,2021,"Some college credit, but not a degree",4,5232,27.4
Kentucky,2021,"Some college credit, but not a degree",4,5299,27.4
Kentucky,2021,High school graduate or GED completed,3,7873,25.5
Kentucky,2021,High school graduate or GED completed,3,8244,25.6
Kentucky,2021,9th through 12th grade with no diploma,2,2112,24.2
Kentucky,2021,9th through 12th grade with no diploma,2,2288,24.5
Kentucky,2021,8th grade or less,1,990,29.2
Kentucky,2021,8th grade or less,1,1088,29.1
Kentucky,2021,Unknown or Not Stated,0,127,28.6
Kentucky,2021,Unknown or Not Stated,0,121,28
Louisiana,2016,"Doctorate (PhD, EdD) or Professional Degree (MD, DDS, DVM, LLB, JD)",8,533,33.1
Louisiana,2016,"Doctorate (PhD, EdD) or Professional Degree (MD, DDS, DVM, LLB, JD)",8,639,32.9
Louisiana,2016,"Master's degree (MA, MS, MEng, MEd, MSW, MBA)",7,1717,32.1
Louisiana,2016,"Master's degree (MA, MS, MEng, MEd, MSW, MBA)",7,1732,31.9
Louisiana,2016,"Bachelor's degree (BA, AB, BS)",6,5104,30.4
Louisiana,2016,"Bachelor's degree (BA, AB, BS)",6,5318,30.4
Louisiana,2016,"Associate degree (AA, AS)",5,2142,29.3
Louisiana,2016,"Associate degree (AA, AS)",5,2221,29
Louisiana,2016,"Some college credit, but not a degree",4,6735,27
Louisiana,2016,"Some college credit, but not a degree",4,6940,26.9
Louisiana,2016,High school graduate or GED completed,3,9779,25.8
Louisiana,2016,High school graduate or GED completed,3,10144,25.7
Louisiana,2016,9th through 12th grade with no diploma,2,4049,24.3
